inputs,targets
03/07/1988,1988-07-03
24/09/1980,1980-09-24
11/10/1995,1995-10-11
10/09/1987,1987-09-10
12 february 2021,2021-02-12
sunday november 26 2006,2006-11-26
2 jan 1970,1971-01-02
friday april 19 2002,2002-04-19
tue 5 aug 2008,2008-08-05
5 september 2001,2001-09-05
23 april 2009,2009-04-23
aug 14 1993,1993-08-14
may 9 2009,2009-05-09
23 mar 1987,1987-03-23
june 27 2020,2020-06-27
saturday august 19 2017,2017-08-19
sunday march 3 1985,1985-03-03
wednesday 18 january 1978,1978-01-18
monday 5 january 2015,2015-01-05
23 nov 2002,2002-11-23
30 january 1974,1974-01-30
1 aug 1988,1988-08-01
friday 24 june 2022,2022-06-24
6/19/78,1978-06-19
1/15/85,1985-01-15
1/25/14,2014-01-25
12/11/2021,2021-11-12
31 oct 2007,2007-10-31
thursday 30 october 2014,2014-10-30
tuesday march 15 2005,2005-03-15
august 30 1995,1995-08-30
sat 17 aug 2002,2002-08-17
october 11 1988,1988-10-11
19 apr 2000,2000-04-19
1/16/91,1991-01-16
sunday january 7 1990,1990-01-07
dec 24 1990,1990-12-24
jan 23 2002,2002-01-23
wednesday february 13 1974,1974-02-13
tuesday 23 december 2003,2003-12-23
friday january 8 1993,1993-01-08
11/02/1972,1972-02-11
5 november 2016,2016-11-05
10/9/13,2013-10-09
26 sep 2017,2017-09-26
06/07/1997,1997-07-06
8 sep 1981,1981-09-08
jul 12 1970,1970-07-12
friday 25 july 2003,2003-07-25
thursday 25 march 2004,2004-03-25
10/11/2005,2005-11-10
3/22/76,1976-03-22
9/12/12,2012-09-12
tuesday 24 september 1996,1996-09-24
19 sep 1974,1974-09-19
16/02/2001,2001-02-16
31/08/2011,2011-08-31
9 august 2003,2003-08-09
8 january 1974,1974-01-08
mar 7 2012,2012-03-07
18/01/2009,2009-01-18
thursday november 1 2012,2012-11-01
oct 19 1989,1989-10-19
sat 30 jul 2016,2016-07-30
2 october 1987,1987-10-02
1 march 2001,2001-03-01
mon 10 feb 1992,1992-02-10
feb 14 1989,1989-02-14
friday 15 august 2003,2003-08-15
04/07/1994,1994-07-04
nov 16 2006,2006-11-16
sun 6 aug 2000,2000-08-06
august 28 1993,1993-08-28
9/19/21,2021-09-19
12 march 2001,2001-03-12
1/6/20,2020-01-06
20 jun 1975,1975-06-20
